smiles,pIC50
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,"6,431798276"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4N,"6,468521083"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C(=C2)Cl)F)Cl)C3=CN=C4N3C=CN=C4N,"5,388276692"
CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CN=C4N)Cl,"5,643974143"
C1=CC(=CC(=C1)NC(=O)C2=CC=C(C=C2)Br)C3=CN=C4N3C=CN=C4N,"6,124938737"
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)C3=CN=C4N3C=CN=C4N,"5,681936665"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4NC(=O)C5=CC=C(C=C5)OC(F)(F)F,"5,882728704"
CC1=CC(=CC(=C1)C(=O)NC2=NC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=C(C=C5)Cl)C(F)(F)F)C,"6,744727495"
C1=CC=C(C=C1)NC(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CN=C4N,"5,943095149"
C1=CC(=CC(=C1)NC(=O)NC2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4N,"6,036212173"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=CC=C2)Cl)C3=CN=C4N3C=CN=C4N,"5,300162274"
C1=CC(=CC(=C1)NC(=O)NC2=C(C(=CC=C2)Cl)Cl)C3=CN=C4N3C=CN=C4N,"5,896196279"
C1=CC(=CC(=C1)NC(=O)C2=CC=C(C=C2)C(F)(F)F)C3=CN=C4N3C=CN=C4N,"5,152427341"
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C3=CN=C4N3C=CN=C4N,"5,079876674"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=CC(=C(C=C5)Cl)C(F)(F)F,"5,634512015"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC(=CC=C5)OC(F)(F)F,"4,522878745"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)C5=CC=C(C=C5)OC(F)(F)F,"4,672028376"
C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CN=C4N,"6,070581074"
C1=CC(=CC(=C1)NC(=O)C2=C(C=C(C=C2)F)F)C3=CN=C4N3C=CN=C4N,"5,139063379"
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC(=C2)F)F)C3=CN=C4N3C=CN=C4N,"6,337242168"
C1=CC(=CC(=C1)NC(=O)C2=C(C(=CC=C2)Cl)Cl)C3=CN=C4N3C=CN=C4N,"6,193820026"
C1=CC(=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)Cl)C3=CN=C4N3C=CN=C4N,"5,91721463"
C1=CC(=CC(=C1)NC(=O)C2=CC(=CC(=C2)Cl)Cl)C3=CN=C4N3C=CN=C4N,"5,53165267"
CC1=CC(=C(C=C1)C)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5,"4,522878745"
CC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5)C,"4,522878745"
COC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CC=C4NC(=O)C5=CC=CC=C5)OC,"5,023650021"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=CC(=CC=C5)Cl,"5,133122186"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=C(C(=CC=C5)Cl)Cl,"4,799149502"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=CC(=C(C=C5)Cl)Cl,"5,350665141"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(F)(F)F,"5,367542708"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=CC=C(C=C5)C(F)(F)F,"5,521433504"
C1=CC=C(C=C1)C(=O)NC2=CC=CN3C2=NC=C3C4=CC(=CC=C4)NC(=O)NC5=CC(=CC(=C5)C(F)(F)F)C(F)(F)F,"5,681936665"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)F)Cl)C3=CN=C4N3C=CN=C4N,"5,36251027"
C1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)Br)C3=CN=C4N3C=CN=C4N,"5,333482019"
C1=CC(=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F)C3=CN=C4N3C=CN=C4N,"5,281498311"
C1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)C(F)(F)F)C3=CN=C4N3C=CN=C4N,"5,958607315"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C3=CN=C4N3C=CN=C4N,"5,042871802"
C1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CN=C4N3C=CN=C4N,"4,950394387"
CC1=CC=C(C=C1)NC(=O)NC2=CC=CC(=C2)C3=CN=C4N3C=CN=C4N,"5,568636236"
